timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
530387287.97,16.33,0,16.36,0,0,0,2285.89,577.73,2194.73,577.73,
530387277.86,15.56,0,15.48,0.01,0,0,1798.11,773.95,1791.54,773.95,
530387267.74,19.07,0,16.82,0.01,0,0,2325.18,797.5,2342.91,797.5,
530387257.62,22.27,0.01,21.61,0.05,0,0,2331.89,798.05,2327.5,798.05,
530387247.50,195.56,10.19,190.01,163.81,0,0,1538.49,840.85,1534.16,840.85,
530387237.38,34.43,0,32.81,0,0,0,2706.16,804.91,2708.64,804.91,
530387227.27,21.03,0.01,20.71,0.09,0,0,1781.85,676.38,1805.29,407.51,
530387217.15,20.01,0.01,19.61,0.09,0,0,1440.59,964.44,1486.95,484.92,
530387207.09,23.15,0,23.69,0.05,0,0,958.9,853.96,955.56,453.96,
530387197.02,18.71,0.07,17.75,0.6,0,0,466.14,311.21,463.33,161.21,
530387186.96,9.55,0,8.45,0,0,0,356.48,123.93,354.39,123.93,
530387176.89,24.76,0.01,25.12,0.07,0,0,761.89,352.78,757.91,352.78,
530387166.83,9.44,0,8.05,0.03,0,0,243.12,176.42,241.45,176.42,
530387156.76,57.03,0.01,56.96,0.13,0,0,2033.31,1116.6,2026.39,1116.6,
530387146.69,12.69,0.01,11.8,0.16,0,0,617.58,325.05,696.12,325.05,
530387136.63,24.5,0.05,24.52,1.11,0,0,2035.39,393.41,2042.2,393.41,
530387126.60,77.33,0.07,77.58,8.19,0,0,2260.19,1537.5,2263.9,1537.5,
530387116.57,58.03,0.15,60.61,11.16,0,0,2440.44,908.94,2503.91,908.96,
530387106.55,28.85,0.02,28.08,1.82,0,0,1410.19,762.23,1468.59,762.23,
530387096.52,16.84,0,17.54,0.01,0,0,2339.78,794.46,2327.73,794.46,
530387086.49,17.62,0,16.49,0.01,0,0,2323.56,790.62,2325.29,790.62,
530387076.46,112.44,4.86,106.93,77.87,0,0,1974.82,695.53,1975.14,695.53,
530387066.36,117.79,4.64,115.3,74.01,0,0,2217.03,1032.47,2212.48,1032.47,
530387056.29,15.23,0,14.14,0.02,0,0,2507.26,396.73,2497.55,396.73,
530387046.26,23.92,0,25.06,0.01,0,0,1746.01,1354.35,1770.55,554.35,
530387036.24,25.2,0,25.03,0.01,0,0,1152.66,886.57,1136.01,486.57,
530387026.22,12.93,0,11.3,0,0,0,494,305.85,495.73,205.86,
530387016.15,13.93,0.01,14.32,0.01,0,0,409.83,176.22,407.21,126.22,
530387006.08,30.68,0.14,28.2,3.04,0,0,730.02,282.42,726.28,282.42,
530386996.02,12.02,0,11.25,0,0,0,301.83,172.17,301.44,172.17,
530386985.94,26.61,0,26.57,0,0,0,1335.07,422.41,1331.01,422.41,
